"age","gender","country","E","N","A","C","O","c_name","region","sub_region","country_code"
27,2,"AU",9,28,32,26,30,"Australia","Oceania","Australia and New Zealand",36
19,2,"AU",9,17,28,26,19,"Australia","Oceania","Australia and New Zealand",36
25,1,"AU",19,23,17,20,39,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",3,4,30,25,20,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",1,18,21,22,33,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",4,5,22,11,18,"Australia","Oceania","Australia and New Zealand",36
35,2,"AU",11,10,20,24,21,"Australia","Oceania","Australia and New Zealand",36
17,2,"AU",14,16,32,17,21,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",38,32,26,19,36,"Australia","Oceania","Australia and New Zealand",36
22,2,"AU",20,21,30,18,31,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",20,23,31,33,26,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",15,29,29,37,27,"Australia","Oceania","Australia and New Zealand",36
21,2,"AU",2,30,29,21,11,"Australia","Oceania","Australia and New Zealand",36
25,1,"AU",14,18,9,26,18,"Australia","Oceania","Australia and New Zealand",36
32,2,"AU",17,7,38,11,37,"Australia","Oceania","Australia and New Zealand",36
14,2,"AU",36,9,35,24,35,"Australia","Oceania","Australia and New Zealand",36
52,1,"AU",26,33,19,28,30,"Australia","Oceania","Australia and New Zealand",36
28,2,"AU",29,5,33,25,26,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",16,10,31,19,28,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",2,23,31,34,21,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",12,18,16,14,11,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",13,14,25,27,25,"Australia","Oceania","Australia and New Zealand",36
17,2,"AU",21,30,40,20,35,"Australia","Oceania","Australia and New Zealand",36
52,2,"AU",11,10,29,25,40,"Australia","Oceania","Australia and New Zealand",36
18,3,"AU",20,20,20,20,20,"Australia","Oceania","Australia and New Zealand",36
32,1,"AU",22,13,27,17,31,"Australia","Oceania","Australia and New Zealand",36
30,2,"AU",30,21,24,16,39,"Australia","Oceania","Australia and New Zealand",36
59,1,"AU",34,18,30,20,36,"Australia","Oceania","Australia and New Zealand",36
17,2,"AU",18,20,28,18,33,"Australia","Oceania","Australia and New Zealand",36
25,1,"AU",28,13,32,24,30,"Australia","Oceania","Australia and New Zealand",36
26,2,"AU",12,25,27,38,33,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",30,21,28,20,21,"Australia","Oceania","Australia and New Zealand",36
19,2,"AU",17,18,22,23,28,"Australia","Oceania","Australia and New Zealand",36
40,1,"AU",21,13,19,25,40,"Australia","Oceania","Australia and New Zealand",36
14,2,"AU",27,11,20,23,23,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",10,7,26,20,23,"Australia","Oceania","Australia and New Zealand",36
29,2,"AU",14,26,16,25,28,"Australia","Oceania","Australia and New Zealand",36
23,2,"AU",22,10,32,13,26,"Australia","Oceania","Australia and New Zealand",36
34,1,"AU",8,32,24,21,24,"Australia","Oceania","Australia and New Zealand",36
53,2,"AU",28,36,38,26,25,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",7,16,17,26,33,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",36,5,17,21,35,"Australia","Oceania","Australia and New Zealand",36
23,2,"AU",15,1,35,28,30,"Australia","Oceania","Australia and New Zealand",36
20,2,"AU",14,13,32,23,32,"Australia","Oceania","Australia and New Zealand",36
41,1,"AU",9,9,14,35,35,"Australia","Oceania","Australia and New Zealand",36
15,2,"AU",20,16,32,19,21,"Australia","Oceania","Australia and New Zealand",36
16,2,"AU",16,31,31,20,19,"Australia","Oceania","Australia and New Zealand",36
15,2,"AU",8,0,26,11,20,"Australia","Oceania","Australia and New Zealand",36
21,2,"AU",15,17,23,16,24,"Australia","Oceania","Australia and New Zealand",36
22,1,"AU",12,12,34,25,30,"Australia","Oceania","Australia and New Zealand",36
21,2,"AU",30,17,38,14,31,"Australia","Oceania","Australia and New Zealand",36
19,2,"AU",23,18,36,28,31,"Australia","Oceania","Australia and New Zealand",36
47,2,"AU",35,15,36,24,26,"Australia","Oceania","Australia and New Zealand",36
18,2,"AU",30,7,34,16,22,"Australia","Oceania","Australia and New Zealand",36
35,2,"AU",24,21,36,24,38,"Australia","Oceania","Australia and New Zealand",36
47,2,"AU",18,36,38,33,23,"Australia","Oceania","Australia and New Zealand",36
38,1,"AU",32,40,38,39,36,"Australia","Oceania","Australia and New Zealand",36
16,1,"AU",10,18,27,14,28,"Australia","Oceania","Australia and New Zealand",36
52,1,"AU",33,20,33,30,36,"Australia","Oceania","Australia and New Zealand",36
51,2,"AU",20,17,35,29,29,"Australia","Oceania","Australia and New Zealand",36
17,1,"AU",35,26,32,14,32,"Australia","Oceania","Australia and New Zealand",36
