"country","country_code","ageGroup","meanE","meanN","meanA","meanC","meanO","count"
"BR",76,"21-30",16.2,17.0533333333333,24.3866666666667,20.1466666666667,31.9066666666667,75
"BR",76,"31-100",21.6818181818182,19.6363636363636,29.9090909090909,23.9545454545455,30.6363636363636,22
"BZ",84,"13-20",22,31,21,28,28,1
"BZ",84,"21-30",21.7,19.3,28.3,29.5,26.1,10
"BZ",84,"31-100",17.25,24.5,33.75,32.25,23.75,4
"CA",124,"13-20",18.8325123152709,19,27.3793103448276,21.3325123152709,28.679802955665,406
"CA",124,"21-30",20.6224899598394,19.3815261044177,28.4698795180723,24.3092369477912,30.3212851405622,249
"CA",124,"31-100",21.8684210526316,21.2481203007519,30.718045112782,25.6052631578947,30.6804511278195,266
"CH",756,"13-20",23.125,17.75,27.25,18.5,27.625,8
"CH",756,"21-30",19.2777777777778,18.1111111111111,26.7777777777778,19.5,35.6111111111111,18
"CH",756,"31-100",23.5,20,28.9285714285714,22.0714285714286,31.6428571428571,14
"CL",152,"13-20",13.125,19.125,23.75,17.625,29.5,8
"CL",152,"21-30",19.8,19.4,24.2,17.8,27.4,5
"CL",152,"31-100",21.4,21.6,29.8,29.6,32.2,5
"CN",156,"13-20",17.5333333333333,20.5333333333333,27.0666666666667,21.5333333333333,28.6,15
"CN",156,"21-30",19.4117647058824,20.6470588235294,25.7647058823529,25.5294117647059,27.9411764705882,17
"CN",156,"31-100",21.4285714285714,20.1428571428571,32.7142857142857,28.1428571428571,28.5714285714286,7
"CO",170,"13-20",16.25,17.5,24.375,24.875,28.125,8
"CO",170,"21-30",20.125,22.625,25.5,19.875,31.125,8
"CO",170,"31-100",29,25.5,24.5,25,32.5,2
"CZ",203,"13-20",14,13.2,23.9,21.1,28.7,10
"CZ",203,"21-30",19.5833333333333,17.8333333333333,27.25,19.6666666666667,32.1666666666667,12
"CZ",203,"31-100",23.8333333333333,20.1666666666667,30.5,24.5,30.6666666666667,6
"DE",276,"13-20",16.8333333333333,18.5,24.047619047619,20.2857142857143,29.6428571428571,42
"DE",276,"21-30",19.3888888888889,19.8777777777778,26.9666666666667,21.6,30.9111111111111,90
"DE",276,"31-100",22.3793103448276,22.3448275862069,28.7586206896552,24.0689655172414,32.5,58
"DK",208,"13-20",22.0454545454545,21.8181818181818,26.5909090909091,20.4090909090909,30.5,22
"DK",208,"21-30",23.6507936507937,22.5238095238095,30,23.5714285714286,31.1111111111111,63
"DK",208,"31-100",23.3513513513514,22.4054054054054,30,23.3783783783784,31,37
"EE",233,"13-20",16,17.6,24.8,21.8,28.4,5
"EE",233,"21-30",16.6666666666667,19,23,22.3333333333333,22.5,6
"EE",233,"31-100",13,19.5,21.5,16.5,30,2
"EG",818,"13-20",19.1363636363636,15.3181818181818,28.9545454545455,21.8636363636364,28,22
"EG",818,"21-30",17.3333333333333,18.2222222222222,26.8333333333333,23.6666666666667,27.7777777777778,18
"EG",818,"31-100",20.1428571428571,18.4285714285714,22.8571428571429,21.8571428571429,25.7142857142857,7
"ES",724,"13-20",17.9642857142857,17.5357142857143,25.7857142857143,20.6428571428571,31.5714285714286,28
"ES",724,"21-30",17.9189189189189,21.6486486486486,27.4594594594595,21.5405405405405,29.6486486486486,37
"ES",724,"31-100",21.5294117647059,18.7058823529412,28.5882352941176,24,31.4117647058824,17
"FI",246,"13-20",17.1875,17.65625,23.9375,22.65625,28.8125,32
"FI",246,"21-30",18.9285714285714,17.6071428571429,25.8928571428571,20.75,28.75,28
"FI",246,"31-100",22.2413793103448,18.448275862069,28.4827586206897,22.1379310344828,31.4827586206897,29
"FR",250,"13-20",15.9795918367347,15.9591836734694,23.1428571428571,20.0816326530612,30.2040816326531,49
"FR",250,"21-30",21.5636363636364,18.8545454545455,27.0181818181818,21.4363636363636,29.7454545454545,55
"FR",250,"31-100",21.3333333333333,19.7083333333333,29.75,24.5416666666667,30.7083333333333,24
"GB",826,"13-20",18.7619047619048,16.3095238095238,26.3515406162465,20.8319327731092,28.1946778711485,714
"GB",826,"21-30",21.1675126903553,17.4010152284264,28.5126903553299,22.761421319797,29.4568527918782,394
"GB",826,"31-100",22.5275779376499,19.7290167865707,29.5611510791367,23.9952038369305,29.8705035971223,417
"GH",288,"13-20",22,18.8181818181818,31.4545454545455,26.2727272727273,25.7272727272727,11
"GH",288,"21-30",21,24.6666666666667,29.1666666666667,29.6666666666667,24.8333333333333,6
"GH",288,"31-100",26.3333333333333,32.3333333333333,23.6666666666667,32.6666666666667,31.3333333333333,3
"GR",300,"13-20",17.9545454545455,18.5454545454545,25.9090909090909,23.2272727272727,27.6818181818182,22
"GR",300,"21-30",19.2142857142857,16.3809523809524,28.5952380952381,23.1190476190476,30.5952380952381,42
"GR",300,"31-100",20.4761904761905,16.7619047619048,30.0952380952381,25.5714285714286,30.6190476190476,21
"HK",344,"13-20",15.8461538461538,14.5384615384615,25.3076923076923,21.6923076923077,25.3846153846154,13
"HK",344,"21-30",21.2,17.95,28.85,25,28.95,20
"HK",344,"31-100",22.625,19.875,27,25.875,25.75,8
"HR",191,"13-20",16.3636363636364,15.8181818181818,26.7272727272727,24.2727272727273,30.6363636363636,11
"HR",191,"21-30",20.3478260869565,19.2173913043478,28.0434782608696,21.5217391304348,29.2173913043478,23
"HR",191,"31-100",15.3333333333333,21.1666666666667,24.3333333333333,27,31.6666666666667,6
"HU",348,"13-20",20,20.7272727272727,23.5454545454545,20.0909090909091,33.8181818181818,11
"HU",348,"21-30",16.5555555555556,15.5555555555556,26.3333333333333,21.2222222222222,28.3888888888889,18
"HU",348,"31-100",21,22.8,22,27,28,5
"ID",360,"13-20",19.2527472527473,17.2197802197802,26.1538461538462,23.1978021978022,26.2747252747253,91
"ID",360,"21-30",19.5901639344262,19.3934426229508,26.4426229508197,25.0655737704918,27.7377049180328,61
"ID",360,"31-100",16.375,21.4375,28.625,28.5625,28.4375,16
"IE",372,"13-20",21.375,18.175,28.775,22.225,28.7,40
"IE",372,"21-30",21.9444444444444,20.4166666666667,30.1944444444444,23.2777777777778,29.6944444444444,36
"IE",372,"31-100",22.1935483870968,20.4516129032258,31,24.6774193548387,29.1935483870968,31
"IL",376,"13-20",18.25,23.5,19.375,22.375,29.375,8
"IL",376,"21-30",22.1818181818182,23.5454545454545,29.4545454545455,18.2727272727273,33.1818181818182,11
"IL",376,"31-100",12.8571428571429,13.1428571428571,24.5714285714286,22.8571428571429,32,7
"IN",356,"13-20",20.1595441595442,16.4102564102564,27.8148148148148,21.3390313390313,27.9430199430199,351
"IN",356,"21-30",20.3266443701226,17.768115942029,28.38127090301,23.2809364548495,26.7023411371237,897
"IN",356,"31-100",20.004854368932,19.1601941747573,29.6650485436893,25.6990291262136,27.4417475728155,206
"IR",364,"13-20",19,26,27,19,26,1
"IR",364,"21-30",17.5555555555556,18.7777777777778,21.7777777777778,19.1111111111111,27,9
"IR",364,"31-100",22.1666666666667,21.3333333333333,24.5,23.8333333333333,26.1666666666667,6
